Date,Open,High,Low,Close,Volume
2018-09-01,281.6,302.7,281.24,295.72,205999.19553138
2018-09-02,295.73,300.43,289.39,295.23,127251.44314832
2018-09-03,295.35,296.5,285.75,289.28,125398.03474989998
2018-09-04,289.27,293.04,280.84804205,285.34,170222.90139382
2018-09-05,285.34,287.97,225.61,228.39,594903.8339326
2018-09-06,228.44,232.78,211.19,229.74,525143.17417657
2018-09-07,229.72,234.56,213.16,215.17,305671.71268685
2018-09-08,215.17,220.57,190.0,196.7,376666.258106
2018-09-09,196.7,208.37,185.12,195.98,420784.56791637
2018-09-10,196.02,202.77,186.9,197.29,351369.81271042
2018-09-11,197.37,199.87,175.89,185.18,468764.43946091
2018-09-12,185.17465906,185.17465906,167.32111027,183.17,744844.87292184
2018-09-13,183.17,215.19,183.17,211.09,856244.97231773
2018-09-14,211.09,224.21,202.95,208.49,825121.46145799
2018-09-15,208.49,228.08,208.33,221.48,454144.44503949
2018-09-16,221.48,223.7,203.0,220.16,376096.37101498
2018-09-17,220.18,226.77,192.5,196.03,968799.59894889
2018-09-18,196.03,222.0,193.88,208.36,596607.79304164
2018-09-19,208.36,215.83,196.0,209.83,630770.25126393
2018-09-20,209.83,230.0,207.0,225.0,455866.39962720004
2018-09-21,225.0,252.0,221.23,247.8,712207.35387244
2018-09-22,247.81,255.0,232.98,241.0,346303.70730327
2018-09-23,240.99,249.68957972,236.95,244.7,248223.63097232
2018-09-24,244.7,245.9,225.01,227.85,402802.24308592
2018-09-25,227.8411289,227.85,202.32,219.26,692661.2721104999
2018-09-26,219.25,223.0,207.31,214.24,412757.21126781
2018-09-27,214.26,235.2,209.96,229.29,377359.90526467
2018-09-28,229.24,234.19,214.68,221.92,484492.42101800005
2018-09-29,221.92,239.46,212.39,231.52,478576.70038088
2018-09-30,231.52,239.46,226.0,232.86,312460.34472686
2018-10-01,232.96,235.75,224.0,231.49,180635.78396816
2018-10-02,231.49,232.4,223.01,225.97,132193.88049575
2018-10-03,225.97,226.49,214.0,220.74,275009.58669672
2018-10-04,220.74,227.9,219.31,222.36,180923.04394267
2018-10-05,222.37,233.48,219.34414341,228.54,201606.23601487
2018-10-06,228.54440467,229.31,222.6,225.31,106611.62361305
2018-10-07,225.31,227.76,220.49,226.28,102616.66093966
2018-10-08,226.29,234.9,224.2,230.20395475,247534.65736414
2018-10-09,230.20395475,231.66566139,226.71207327,228.58,109442.49624206
2018-10-10,228.58,228.68,223.3,226.7,152915.65514122
2018-10-11,226.7,226.7,188.35,191.16,657718.60971052
2018-10-12,191.17,201.82,189.5,197.02,292020.44380407
2018-10-13,197.02,203.0,196.56,201.23,134531.86729636
2018-10-14,201.22,203.7,194.01,196.75,166127.3525171
2018-10-15,196.75,242.62,194.49,214.31,967343.5577302
2018-10-16,214.31,219.43,211.39,215.12,136361.19468159
2018-10-17,215.13,217.07,209.66,212.83,105799.19932975
2018-10-18,212.8,215.0,203.53,206.08,187517.2657795
2018-10-19,206.07,207.88,203.69,204.93,136359.46025118
2018-10-20,204.92,209.98,203.58,208.16,90809.80053076
2018-10-21,208.17,212.0,206.31,207.29,87016.22448583
2018-10-22,207.28115664,208.86,205.0112582,206.56,74557.37458869
2018-10-23,206.56,208.0,202.53,205.89912255,116461.15436211
2018-10-24,205.89912255,208.0,205.05,205.23,83367.22536217
2018-10-25,205.25,205.79,202.9,203.68,65612.70480259
2018-10-26,203.68,210.5,202.8,205.03,158094.54740045
2018-10-27,205.03475849,205.89,203.06,204.23,37522.42412317
2018-10-28,204.23,205.77,203.74,204.96667358,43305.30851977
2018-10-29,205.01,205.49,195.16,196.91,173795.52626959
2018-10-30,196.9,199.0,195.89,197.33,74821.68003851
2018-10-31,197.33,201.89,193.04,198.7,128439.29479531
2018-11-01,198.7,200.99,198.04701916,199.81,49984.40177322
2018-11-02,199.86,204.29,199.66,202.22,101815.19510930001
2018-11-03,202.23,202.49,196.5,200.3,56750.13197083
2018-11-04,200.3,218.92,198.86,212.3,246708.45965216
2018-11-05,212.3,213.83848092,207.83,210.83,110806.50025886
2018-11-06,210.82603059,221.57,209.18,220.83,199789.71752422
2018-11-07,220.84,225.12,217.28,218.98,238845.60467254
2018-11-08,218.99,220.76,212.0,212.70162805,107090.82930704
2018-11-09,212.71,215.48,209.05,211.01,76541.57859382
2018-11-10,211.01,217.45,210.52,213.2,67049.83547352
2018-11-11,213.19,213.7,206.28,212.99,89782.20507158
2018-11-12,212.99724894,215.0,210.58,212.68,92710.93406585
2018-11-13,212.67760477,213.36,208.73,209.85,116036.48192914
2018-11-14,209.85,211.4,175.01,187.21,859024.55063742
2018-11-15,187.2,190.0,171.36,184.15,534880.91734613
2018-11-16,184.15,185.17,171.83,176.95,301484.64537004
2018-11-17,176.99,177.79,174.02,175.9,99617.64167587
2018-11-18,175.9,182.99,175.89,178.96,151633.93350462
2018-11-19,178.99,178.99,147.22,150.93,931337.98717324
2018-11-20,150.96,154.89,127.0,133.85,1503498.8733853002
2018-11-21,133.85,141.91,126.2,138.17,834483.91409371
2018-11-22,138.18,140.46,125.0,126.3,368636.18338696
2018-11-23,126.32,129.05,119.52,125.24,675636.21346673
2018-11-24,125.23,130.5,111.15,114.8,579709.34825107
2018-11-25,114.79,123.51,102.96,118.72,1179016.99459419
2018-11-26,118.73,121.49,106.6,110.75,798576.28692862
2018-11-27,110.74409879,115.0,102.2,111.72,609162.38840008
2018-11-28,111.72,127.87,111.72,124.05,686099.61874797
2018-11-29,124.04,125.17,115.1,118.51,465696.31527339
2018-11-30,118.52,121.12,111.41,113.68,480603.85505035
2018-12-01,113.64,123.1,111.52,119.65,360683.82713049
2018-12-02,119.65,122.38,116.23103618,117.12,184086.30652939
2018-12-03,117.11129288,117.53,106.87,109.22,320175.67899297
2018-12-04,109.23,115.48,106.2,110.77,303148.50570059
2018-12-05,110.77,111.27,102.0,102.66,363018.67808872
2018-12-06,102.65,105.67,91.26799999999999,91.97,755048.40160262
2018-12-07,91.99,99.085,83.0,94.79,1209749.20063274
2018-12-08,94.79,100.5,85.641,93.0,581694.02546497
2018-12-09,92.788,102.5,90.693,96.03200000000001,436836.19972693
2018-12-10,95.84700000000001,98.023,90.3,92.20100000000001,320269.13919493
2018-12-11,92.21,94.226,87.2,89.13799999999999,327078.32943304
2018-12-12,89.13799999999999,94.146,87.906,91.887,315564.25506915
2018-12-13,91.833,93.04799999999999,85.944,87.90100000000001,324648.20979571
2018-12-14,87.90100000000001,88.54805721,83.666,85.198,320709.23759625
2018-12-15,85.193,86.698,83.17,85.74,220428.36399694
2018-12-16,85.74,91.461,85.57332833,86.56,307459.60514489
2018-12-17,86.601,100.39,86.21167281,97.25,535822.94530663
2018-12-18,97.249,105.77,94.49799999999999,104.08,446992.0857878
2018-12-19,104.09,110.9,101.64895759,102.41,662715.79909467
2018-12-20,102.38,120.7,101.4,118.47,808708.95828695
2018-12-21,118.37,122.66,108.65,111.1,625199.44720879
2018-12-22,111.32,121.0,108.85,120.49427129,353815.45031521
2018-12-23,120.49,138.94,120.48,133.76,670300.6976199
2018-12-24,133.76,163.5,133.48,142.53484272,1282427.7108541
2018-12-25,142.46,143.5,124.5,132.99,860105.99198583
2018-12-26,133.0,141.65,127.36,134.58,554950.55577881
2018-12-27,134.6,136.0,116.3,118.57,686035.3763071
2018-12-28,118.58,143.9,117.1,142.15,758746.14298307
2018-12-29,142.14,153.0,136.0,140.33101399999998,685328.29454345
2018-12-30,140.33101399999998,145.25,134.0,144.2,443215.98973991
2018-12-31,144.21,144.5,132.05,136.0,378190.19253226
2019-01-01,136.0,148.15192358,134.68,145.0,392621.48609957
2019-01-02,145.05,163.67,143.86,159.36,566338.6179306
2019-01-03,159.51163185,160.93,149.49,152.42,322755.47827796
2019-01-04,152.41686459,162.4,149.78,158.48,553207.86063978
2019-01-05,158.71,167.0,155.0,158.32,500826.31287689
2019-01-06,158.36,165.86,152.59,160.84,507028.2163778
2019-01-07,160.76,162.59,153.0,154.79,193398.32987615
2019-01-08,154.79,158.09124123,146.0,152.86,394338.68343654
2019-01-09,152.88,162.76,151.0,152.65,291789.53971791
2019-01-10,152.6623428,154.8,125.71,129.5,684813.18925398
2019-01-11,129.52,131.79,124.43,128.73,281137.06106823
2019-01-12,128.76,130.37,126.1,127.41,142552.91026521
2019-01-13,127.39,128.06,116.1,117.94,245786.59389878
2019-01-14,117.94,134.5,117.79,131.45,380637.93611058
2019-01-15,131.45921456,134.29,119.29,122.6,360220.49288352
2019-01-16,122.6,131.36,121.38,124.36,300508.54459523
2019-01-17,124.42,127.32,119.34,125.25,258914.71331603
2019-01-18,125.24,125.66,120.16,121.82,146720.87929936
2019-01-19,121.88,132.36,121.87653566,126.01,285043.72533233
2019-01-20,126.0,126.87,107.51,119.1,370891.82784823
2019-01-21,119.08,120.53,114.65,117.5,207936.02068398
2019-01-22,117.42,122.12,112.2,120.19,298453.03310464
2019-01-23,120.19,121.29,117.03,118.76,153142.54186610001
2019-01-24,118.75892895,120.12,115.65,119.05314044,181027.10848461
2019-01-25,119.05,120.0,116.01,117.26547717,139956.70900985
2019-01-26,117.27,122.0,117.0,117.26,136149.13182552
2019-01-27,117.28,118.49,112.16,113.43,238132.02639151
2019-01-28,113.44,114.45,103.2,107.49,370323.8965416
2019-01-29,107.5,108.36,104.16,106.3,164515.21696698
2019-01-30,106.32,112.06,105.07,110.62,324019.3745867
2019-01-31,110.55125732,113.88,107.17,108.49,179435.26128464
2019-02-01,108.61,110.67,105.51,108.93639624,192631.45359719
2019-02-02,109.01,114.33389877,107.93,112.71,163361.18595986
2019-02-03,112.7,114.2,107.0,108.63,191424.88203439998
2019-02-04,108.58,110.6,107.77,108.46,105145.61749952
2019-02-05,108.45,109.17,107.36,108.69,66832.69763122
2019-02-06,108.69,109.0,102.49,106.05,280564.98488924
2019-02-07,106.06,107.75,104.76,105.81,115100.64330285
2019-02-08,105.78,124.88,105.00230043,121.21040371,520022.74559365
2019-02-09,121.22,123.73,119.55,121.01,147000.10962728
2019-02-10,121.08,128.16,118.0,127.37,249140.41491205
2019-02-11,127.31,127.31,121.21,122.68388757,207173.08194556
2019-02-12,122.68928414,127.0,119.22,124.75,226671.65242257
2019-02-13,124.67,130.46398664,122.45,123.85,244185.72179065
2019-02-14,123.85,126.35,122.06,122.52,180710.06673683
2019-02-15,122.53,127.4,122.19,123.75,179536.51121806
2019-02-16,123.78,127.25,123.73,124.68,122637.51885895
2019-02-17,124.68,139.5,124.35186336,136.15,520129.55200444
2019-02-18,136.17,152.0,134.7,148.87,677549.40613454
2019-02-19,148.87,153.76,145.76,146.61,344048.26117811
2019-02-20,146.61,152.99,143.6,151.41,315090.63544549997
2019-02-21,151.36,156.4,145.0,148.3,324665.15844687
2019-02-22,148.30303447,152.43,146.1,151.27,349070.15586161
2019-02-23,151.27,163.78,148.75,161.53745825,442932.81412847
2019-02-24,161.54,170.0,134.59,135.2,880143.09454422
2019-02-25,135.3,144.78,134.96,141.21,322418.67594558
2019-02-26,141.17,141.75,136.22,139.37,140020.0187171
2019-02-27,139.36,144.19,128.8,137.71,372477.60149725
2019-02-28,137.72,143.0,136.0,138.17,327681.6547735
2019-03-01,138.18,141.44,137.81,138.5,112400.50230288
2019-03-02,138.53,139.31,132.63,135.59746332,179045.31672674
2019-03-03,135.59,137.99,130.4,133.23,110320.33667254
2019-03-04,133.27645537,133.88740746,125.88,128.39,217570.92113804
2019-03-05,128.39,141.0,127.74,140.0,302894.16151721
2019-03-06,140.03708394,143.83,136.5,140.57,236683.61694207
2019-03-07,140.56958600000002,143.3,138.32,140.04,144044.54303336
2019-03-08,140.03,143.06280348,131.0,136.18,254452.01201008
